(book isin nominal tradedate)
(string string real when)
(606A |GB0009122011| 1500000  (when 10/04/2005 15:39:26))
(606A |GB0009122011| 15000000 (when 10/04/2005 15:39:26))
(602A |GB0009122011| 2500000  (when 10/04/2005 15:39:26))
(602A |GB0009122011| 25000000 (when 10/04/2005 15:39:26))
(600B |GB0009122011| 1000000  (when 10/04/2005 15:39:26))
(600B |GB0009122011| 10000000 (when 10/04/2005 15:39:26))
(606A |XS0002382949| 2400000  (when 10/04/2005 15:39:26))
(606A |XS0002382949| 24000000 (when 10/04/2005 15:39:26))
(603A |XS0002382949| 2400000  (when 10/04/2005 15:39:26))
(603A |XS0002382949| 24000000 (when 10/04/2005 15:39:26))
(600B |XS0002382949| 2400000  (when 10/04/2005 15:39:26))
(600B |XS0002382949| 24000000 (when 10/04/2005 15:39:26))
(606A |XS0009876238| 2200000  (when 10/04/2005 15:39:26))
(606A |XS0009876238| 22000000 (when 10/04/2005 15:39:26))
(602C |XS0009876238| 3200000  (when 10/04/2005 15:39:26))
(602C |XS0009876238| 32000000 (when 10/04/2005 15:39:26))
(510A |XS0009876238| 1400000  (when 10/04/2005 15:39:26))
(510A |XS0009876238| 14000000 (when 10/04/2005 15:39:26))
(606A |XS0002392992| 2200000  (when 10/04/2005 15:39:26))
(606A |XS0002392992| 22000000 (when 10/04/2005 15:39:26))
(602C |XS0002392992| 3200000  (when 10/04/2005 15:39:26))
(602C |XS0002392992| 32000000 (when 10/04/2005 15:39:26))
(510A |XS0002392992| 1400000  (when 10/04/2005 15:39:26))
(510A |XS0002392992| 14000000 (when 10/04/2005 15:39:26))
(606A |XS0002392196| 2200000  (when 10/04/2005 15:39:26))
(606A |XS0002392196| 22000000 (when 10/04/2005 15:39:26))
(602C |XS0002392196| 3200000  (when 10/04/2005 15:39:26))
(602C |XS0002392196| 32000000 (when 10/04/2005 15:39:26))
(510A |XS0002392196| 1400000  (when 10/04/2005 15:39:26))
(510A |XS0002392196| 14000000 (when 10/04/2005 15:39:26))
(606A |ES0002355522| 2200000  (when 10/04/2005 15:39:26))
(606A |ES0002355522| 22000000 (when 10/04/2005 15:39:26))
(602C |ES0002355522| 3200000  (when 10/04/2005 15:39:26))
(602C |ES0002355522| 32000000 (when 10/04/2005 15:39:26))
(510A |ES0002355522| 1400  (when 10/04/2005 15:39:26))
(510A |ES0002355522| 14000 (when 10/04/2005 15:39:26))
(606A |GB0002199923| 2200000  (when 10/04/2005 15:39:26))
(606A |GB0002199923| 22000000 (when 10/04/2005 15:39:26))
(602C |GB0002199923| 3200000  (when 10/04/2005 15:39:26))
(602C |GB0002199923| 32000000 (when 10/04/2005 15:39:26))
(510A |GB0002199923| 1400000  (when 10/04/2005 15:39:26))
(510A |GB0002199923| 14000000 (when 10/04/2005 15:39:26))
(606A |DE0002387921| 2200000  (when 10/04/2005 15:39:26))
(606A |DE0002387921| 22000000 (when 10/04/2005 15:39:26))
(602C |DE0002387921| 3200000  (when 10/04/2005 15:39:26))
(602C |DE0002387921| 32000000 (when 10/04/2005 15:39:26))
(510A |DE0002387921| 1400000  (when 10/04/2005 15:39:26))
(510A |DE0002387921| 14000000 (when 10/04/2005 15:39:26))
